Фото;Название;Описание;Год;Цена USD;Цена KGS
https://i.cars.kg/preview/r/k4cZjJWLDXK4V3qMMcudMw/1080x-/20220217/e498ee91a40113f08fe3fa4e23e72041.jpg;Toyota Prius V 1 поколение Минивэн ,2015;"Минивэн / Бус,
                                        голубой,
                                        1.8 л.,
                                        левый руль,
                                        гибрид,
                                        автомат,
                                        передний,";2015;15800$; 1 339 840 сом 
https://i.cars.kg/preview/r/8a9OPMVCw8D78uaYNqIebg/1080x-/20220202/54fa0e351b523dde08da8f26f33c3abd.jpg;Toyota Prius 4 поколение Хетчбэк ,2016;"Хэтчбек,
                                        серебряный,
                                        1.8 л.,
                                        левый руль,
                                        гибрид,
                                        автомат,
                                        передний,";2016;16150$; 1 369 520 сом 
https://i.cars.kg/preview/r/J1o0S-lLtdcvIIGyZ5coSg/1080x-/20220222/ef9a4fa2539f66ed997522d3b3627f92.jpg;Toyota Camry ,2015;"Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,";2015;15800$; 1 339 840 сом 
https://i.cars.kg/preview/r/f1AwmL2TpThWbaZi9LFpQg/1080x-/20220222/e4a4fe53ec2ea32d3d29a3a01176ff4d.jpg;Toyota Mark II X110 Седан ,2003;"Седан,
                                        серебряный,
                                        2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,";2003;7200$; 610 560 сом 
https://i.cars.kg/preview/r/f5LEoK3x2sKsRwgF1-K8zQ/1080x-/20220222/8142fc396275261b80d5bb7ad607f863.jpg;Toyota Vitz XP10 [рестайлинг] Хетчбэк 5-дв. ,2001;"Хэтчбек,
                                        серый,
                                        1.3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,";2001;3600$; 305 280 сом 
https://i.cars.kg/preview/r/mMEIjpr0_4CrNQDbFNW0Ag/1080x-/20220222/ecbfbf7d5737e9615b201a039c9b5d58.jpeg;Toyota Camry XV30 ,2003;"Седан,
                                        серебряный,
                                        2.3 л.,
                                        левый руль,
                                        бензин,
                                        автомат,";2003;7500$; 636 000 сом 
https://i.cars.kg/preview/r/m1mEE9A_qhbsw2bjXfamVQ/1080x-/20220221/038b1b2e51dd5317464a1ea1351e0a0d.jpg;Toyota Estima 3 поколение Минивэн 5-дв. ,2007;"Минивэн / Бус,
                                        белый,
                                        2.4 л.,
                                        правый руль,
                                        бензин,
                                        вариатор,
                                        передний,";2007;12000$; 1 017 600 сом 
https://i.cars.kg/preview/r/WkuZHgSTLt6aNH6dkeGblw/1080x-/20220221/10d546cc954ec91219c197fa7f747e95.jpg;Toyota Land Cruiser Prado J150 [рестайлинг] Внедорожник ,2013;"Внедорожник / Пикап,
                                        белый,
                                        2.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,";2013;33800$; 2 866 240 сом 
https://i.cars.kg/preview/r/QfStv7ehAUS86FKodgZJkA/1080x-/20220221/4931e8a2f2046b32770c0f1c048afcb0.jpg;Toyota Camry XV30 [рестайлинг] Седан ,2004;"Седан,
                                        серебряный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,";2004;9200$; 780 160 сом 
https://i.cars.kg/preview/r/B6gZmxzfm9z9tHIjb0x2Sg/1080x-/20220221/265909369bad903f17e800d6aaf688e7.jpg;Toyota Land Cruiser J100 Внедорожник ,2002;"Внедорожник / Пикап,
                                        белый,
                                        4.7 л.,
                                        левый руль,
                                        газ-бензин,
                                        автомат,
                                        постоянный полный,";2002;15000$; 1 272 000 сом 
https://i.cars.kg/preview/r/wiY88ShHWwHjkWntaUr91g/1080x-/20220221/422b6c5e095b6a8abd2a4ef2641f76eb.jpeg;Toyota Estima 3 поколение ,2006;"Минивэн / Бус,
                                        белый жемчуг,
                                        2.4 л.,
                                        правый руль,
                                        бензин,
                                        вариатор,
                                        передний,";2006;10700$; 907 360 сом 
no photo;Toyota Camry XV50 [рестайлинг] Седан ,2015;"Седан,
                                                    2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,";2015;15500$; 1 314 400 сом 
